@relation 'gesture-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0'

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute meanCrossingX numeric
@attribute meanCrossingY numeric
@attribute meanCrossingZ numeric
@attribute absMeanX numeric
@attribute absMeanY numeric
@attribute absMeanZ numeric
@attribute absDifferenceX numeric
@attribute absDifferenceY numeric
@attribute absDifferenceZ numeric
@attribute stdDeviationX numeric
@attribute stdDeviationY numeric
@attribute stdDeviationZ numeric
@attribute skewnessX numeric
@attribute skewnessY numeric
@attribute skewnessZ numeric
@attribute kurtosisX numeric
@attribute kurtosisY numeric
@attribute kurtosisZ numeric
@attribute rootMeanSquareX numeric
@attribute rootMeanSquareY numeric
@attribute rootMeanSquareZ numeric
@attribute percentile25X numeric
@attribute percentile25Y numeric
@attribute percentile25Z numeric
@attribute percentile50X numeric
@attribute percentile50Y numeric
@attribute percentile50Z numeric
@attribute percentile75X numeric
@attribute percentile75Y numeric
@attribute percentile75Z numeric
@attribute class {gesture-pacing,gesture-rocking,gesture-hairpulling,gesture-scratching,gesture-hitting,gesture-punching,gesture-still}

@data
-4.686781,3.261179,-2.765324,9.297627,15.165622,2.398391,-25.06789,-14.162451,-19.249083,10,15,14,6.317103,7.598694,3.500119,7.349335,12.348579,0,52.568718,71.17667,24.595705,-0.897572,-0.501666,-2.067416,2.368004,-0.608243,5.142069,8.633345,9.044995,5.678267,-6.287623,-2.359785,-5.080347,-4.865018,2.891298,-1.892916,-1.363348,9.99669,0.517597,gesture-hairpulling
-2.769167,1.614758,-1.867963,9.824934,17.485304,3.360711,-25.983223,-13.13055,-8.140136,11,13,7,4.791153,6.684574,2.64762,7.193731,11.265265,0,49.5008,75.37664,7.723337,-1.672116,-0.050871,-0.182643,5.190512,-0.388747,-0.115614,7.561024,8.83086,3.348525,-5.443666,-3.208576,-4.0052,-1.210419,1.145476,-1.648258,0.039953,8.008755,-0.009726,gesture-hairpulling
-3.513943,2.855774,-2.745085,7.714645,17.341204,1.284339,-26.299257,-13.676428,-23.593061,13,16,10,5.19519,6.933519,3.033676,8.048731,11.375555,0,49.92333,61.97166,25.698368,-1.691319,-0.350446,-3.682458,4.455629,-0.171677,15.185597,7.891206,8.374193,5.764881,-5.964256,-3.14253,-3.427001,-2.245312,3.705476,-1.984943,0.428712,8.797943,-0.560094,gesture-hairpulling
-2.656952,4.112966,-1.172943,4.14137,20.47985,14.882358,-24.333918,-12.472893,-6.78397,11,13,13,3.966487,8.015335,3.140243,6.197829,12.017778,0,35.147446,73.26921,19.568338,-2.533364,-0.195216,2.31642,8.451306,-0.460786,8.211036,6.496679,9.496614,4.576476,-4.646248,-2.518251,-4.574122,-2.062305,4.640861,-1.371429,1.311574,9.394249,0.23104,gesture-hairpulling
-1.12627,-0.191914,-0.707217,4.404284,12.064383,3.757251,-7.209091,-11.632978,-7.29199,13,13,9,2.619773,6.155826,2.428813,3.637174,9.739569,0,9.581693,54.317566,9.571314,-0.015987,0.363077,-0.80739,-0.632375,-0.899906,0.155456,3.293961,7.372543,3.173558,-4.247014,-5.667524,-2.243666,-1.006463,-1.873463,-0.602291,0.616507,2.596362,1.505953,gesture-hairpulling
-1.461527,2.63059,-1.677377,4.301033,16.02529,3.364901,-12.561479,-12.296471,-20.442593,10,14,10,3.193415,8.056479,3.326189,4.598234,13.229548,0,14.776352,82.07341,27.491766,-0.987023,-0.102034,-2.454744,1.867112,-1.303216,7.484624,4.11247,9.433632,5.50503,-4.28607,-5.28954,-2.801645,-1.940052,0.347276,-0.666336,1.743577,10.491542,1.379808,gesture-hairpulling
-4.243628,2.593645,-0.561974,4.519804,15.774946,4.337545,-16.499191,-12.977322,-5.88001,13,15,11,5.226016,7.336696,2.234578,6.713984,12.111437,0,32.374187,73.29806,7.333873,-0.676708,-0.108323,-0.349754,-0.340027,-1.082392,-0.505615,7.098068,8.945672,2.765807,-8.599074,-2.912097,-3.000234,-2.763807,1.826028,-0.681769,0.178967,11.552772,1.245135,gesture-hairpulling
-4.255746,3.465553,-1.126974,7.287202,16.861315,4.179678,-26.55918,-13.037625,-13.431172,12,14,7,6.393664,8.620448,2.770488,10.013712,11.733433,0,63.630043,86.7803,16.804691,-1.060139,-0.46897,-1.624635,1.442491,-0.852906,3.248391,9.041096,9.939334,4.251442,-9.181614,-4.576367,-2.912546,-2.293496,4.518756,-0.416591,0.540042,12.047922,0.733075,gesture-hairpulling
-4.360405,2.581006,-0.195002,4.703559,15.043817,4.962133,-23.20116,-13.308021,-3.292027,11,15,8,5.161057,7.372709,1.53167,7.709614,12.033236,0,39.94201,73.1497,3.830243,-1.385568,-0.134082,0.798209,2.452815,-0.915258,1.013586,7.678225,8.933717,1.966792,-8.279299,-3.660286,-1.468095,-3.46456,-0.877026,-0.655562,0.471508,10.652552,0.543184,gesture-hairpulling
-2.838223,3.144173,0.613396,5.328296,16.371552,5.019526,-12.930934,-8.55987,-2.459593,14,11,10,4.375638,6.811536,1.807928,6.822637,9.859853,0,25.776134,59.609436,4.340776,-0.389244,0.29941,0.383352,-0.650563,-1.135188,-0.74421,5.816498,8.336381,2.171872,-6.776339,-4.911705,-1.442357,-2.233491,2.46109,0.546477,0.797419,8.536825,1.782483,gesture-hairpulling
